"Reference","Qty","Value","Manufacturer","Part number","SKU","Category"
"H2,H3,H4,H5","4","9774020951R","Würth Elektronik","9774020951R","",""
"J1","1","Conn_01x04_FFC3B11-04-T","GCT","FFC3B11-04-T","",""
"J2,J3,J4,J5,J6","5","P70-6000045R","Harwin","P70-6000045R","",""
"R1","1","0R","YAGEO","RC0402JR-070RL","",""
"H1","1","10-04-D-0050-C-4-08-4-T","GCT","10-04-D-0050-C-4-08-4-T ","","Wire harness"
